"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"PINHD-1X10";"1X10";"JP2, JP8";"PIN HEADER";"";
"1";"";"PINHD-1X13";"1X13";"JP1";"PIN HEADER";"";
"2";"";"PINHD-1X2";"1X02";"JP3, JP5";"PIN HEADER";"";
"2";"";"PINHD-1X3";"1X03";"JP7, JP12";"PIN HEADER";"";
"1";"";"PINHD-1X4";"1X04";"JP11";"PIN HEADER";"";
"1";"";"PINHD-1X5";"1X05";"JP10";"PIN HEADER";"";
"1";"";"PINHD-1X6";"1X06";"JP9";"PIN HEADER";"";
"2";"";"PINHD-1X8";"1X08";"JP4, JP6";"PIN HEADER";"";
"1";".05uF";"C-US025-040X050";"C025-040X050";"C4";"CAPACITOR, American symbol";"";
"1";"10";"R-US_0204/7";"0204/7";"R3";"RESISTOR, American symbol";"";
"1";"100";"R-US_0204/7";"0204/7";"R1";"RESISTOR, American symbol";"";
"1";"1000uF";"CPOL-USE5-8.5";"E5-8,5";"C6";"POLARIZED CAPACITOR, American symbol";"";
"1";"100nF";"C-US025-040X050";"C025-040X050";"C3";"CAPACITOR, American symbol";"";
"1";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"D1";"DIODE";"";
"1";"1k";"R-US_0204/7";"0204/7";"R2";"RESISTOR, American symbol";"";
"1";"1uF";"C-US025-040X050";"C025-040X050";"C2";"CAPACITOR, American symbol";"";
"1";"1uF";"C-US025-050X050";"C025-050X050";"C1";"CAPACITOR, American symbol";"";
"1";"250uF";"C-US025-040X050";"C025-040X050";"C5";"CAPACITOR, American symbol";"";
"1";"470";"R-US_0204/7";"0204/7";"R4";"RESISTOR, American symbol";"";
"1";"LM358N";"LM358N";"DIL08";"IC2";"OP AMP also LM158; LM258; LM2904";"";
"1";"LM386N-1";"LM386N-1";"DIL08";"IC1";"Low Voltage Audio Power Amplifier";"";
"7";"WS2812B_5050N";"WS2812B_5050N";"WS2812B-NARROW";"LED2, LED3, LED4, LED5, LED6, LED7, LED8";"";"";
